ZIP,date,forecast_rent
98404,2027-11-01,2132.186470949368
98404,2027-12-01,2133.3283316443917
98404,2028-01-01,2134.470192339415
98404,2028-02-01,2135.6120530344388
98404,2028-03-01,2136.7539137294625
98404,2028-04-01,2137.895774424486
98404,2028-05-01,2139.0376351195096
98404,2028-06-01,2140.1794958145333
98404,2028-07-01,2141.3213565095566
98404,2028-08-01,2142.4632172045804
98404,2028-09-01,2143.605077899604
98404,2028-10-01,2144.7469385946274
98404,2028-11-01,2145.888799289651
98404,2028-12-01,2147.030659984675
98404,2029-01-01,2148.172520679698
98404,2029-02-01,2149.314381374722
98404,2029-03-01,2150.4562420697457
98404,2029-04-01,2151.598102764769
98404,2029-05-01,2152.7399634597928
98404,2029-06-01,2153.8818241548165
98404,2029-07-01,2155.02368484984
98404,2029-08-01,2156.1655455448636
98404,2029-09-01,2157.3074062398873
98404,2029-10-01,2158.4492669349106
98404,2029-11-01,2159.5911276299344
98404,2029-12-01,2160.732988324958
98404,2030-01-01,2161.8748490199814
98404,2030-02-01,2163.016709715005
98404,2030-03-01,2164.158570410029
98404,2030-04-01,2165.300431105052
98404,2030-05-01,2166.442291800076
98404,2030-06-01,2167.5841524950997
98404,2030-07-01,2168.726013190123
98405,2025-08-01,1855.0442823614508
98405,2025-09-01,1863.2467954999963
98405,2025-10-01,1871.4493086385419
98405,2025-11-01,1879.6518217770874
98405,2025-12-01,1887.854334915633
98405,2026-01-01,1896.0568480541785
98405,2026-02-01,1904.259361192724
98405,2026-03-01,1912.4618743312697
98405,2026-04-01,1920.6643874698152
98405,2026-05-01,1928.8669006083608
98405,2026-06-01,1937.0694137469065
98405,2026-07-01,1945.271926885452
98405,2026-08-01,1953.4744400239977
98405,2026-09-01,1961.6769531625432
98405,2026-10-01,1969.8794663010888
98405,2026-11-01,1978.0819794396343
98405,2026-12-01,1986.2844925781799
98405,2027-01-01,1994.4870057167254
98405,2027-02-01,2002.689518855271
98405,2027-03-01,2010.8920319938165
98405,2027-04-01,2019.094545132362
98405,2027-05-01,2027.2970582709077
98405,2027-06-01,2035.4995714094532
98405,2027-07-01,2043.7020845479988
98405,2027-08-01,2051.9045976865445
98405,2027-09-01,2060.10711082509
98405,2027-10-01,2068.3096239636357
98405,2027-11-01,2076.5121371021814
98405,2027-12-01,2084.7146502407268
98405,2028-01-01,2092.917163379272
98405,2028-02-01,2101.119676517818
98405,2028-03-01,2109.3221896563637
98405,2028-04-01,2117.524702794909
98405,2028-05-01,2125.7272159334543
98405,2028-06-01,2133.929729072
98405,2028-07-01,2142.132242210546
98405,2028-08-01,2150.334755349091
98405,2028-09-01,2158.5372684876365
98405,2028-10-01,2166.7397816261823
98405,2028-11-01,2174.942294764728
98405,2028-12-01,2183.1448079032734
98405,2029-01-01,2191.3473210418188
98405,2029-02-01,2199.549834180365
98405,2029-03-01,2207.7523473189103
98405,2029-04-01,2215.9548604574557
98405,2029-05-01,2224.1573735960014
98405,2029-06-01,2232.359886734547
98405,2029-07-01,2240.5623998730925
98405,2029-08-01,2248.764913011638
